Epochs,Detection Loss,Total Loss,Domain Loss
1,0.03343958035111427,0.26904141902923584,0.69384765625
2,0.05127456411719322,0.3508221507072449,0.712890625
3,0.07363426685333252,0.4088437855243683,0.7119140625
4,0.023839909583330154,0.43266814947128296,0.69189453125
5,0.047878023236989975,0.3265679180622101,0.685791015625
6,0.04636794701218605,0.3686280846595764,0.71240234375
7,0.03590485826134682,0.44287344813346863,0.72216796875
8,0.06875103712081909,0.3884906768798828,0.67724609375
9,0.038445595651865005,0.3478621244430542,0.765869140625
10,0.05647292733192444,0.49790340662002563,0.74365234375
11,0.07132796943187714,0.5130109786987305,0.87060546875
12,0.057283662259578705,0.46383634209632874,0.899169921875
13,0.043039485812187195,0.4194509983062744,0.993896484375
14,0.01950213871896267,0.4561079740524292,0.97119140625
15,0.038593191653490067,0.4235709309577942,0.98291015625
16,0.036308497190475464,0.5259333848953247,1.31982421875
17,0.1373145580291748,0.7345618009567261,1.3857421875
18,0.025180641561746597,0.5715636610984802,1.3017578125
19,0.1109854206442833,0.7456542253494263,1.8017578125
20,0.08722332119941711,0.8466183543205261,2.04638671875
21,0.0946875736117363,0.823311448097229,1.912109375
22,0.07818374037742615,1.0459648370742798,2.62060546875
23,0.1613551378250122,1.2186625003814697,2.97900390625
24,0.1565876007080078,0.9365543127059937,1.9990234375
25,0.12111285328865051,1.3423839807510376,3.6064453125
26,0.1544032096862793,1.554248571395874,3.775390625
27,0.1135825365781784,1.5532567501068115,4.1337890625
28,0.16339229047298431,1.5591803789138794,3.900390625
29,0.15668268501758575,1.7834800481796265,4.84765625
30,0.08786386251449585,1.6173291206359863,4.5556640625
